listing_id,price(dollars),nbhood_borough,nbhood_zone,host_name,last_review,description,room_type
14723697,117.0,Queens, Astoria,Jason,2019-04-04,"3-Bedroom Apartment, 10 Minutes from Manhattan",entire home/apt
14724181,105.0,Manhattan, Harlem,Milton,2019-01-01,Massive Brownstone Close to Express Trains,private room
14726498,60.0,Manhattan, Inwood,Waldy,2019-05-31,Inwood Manhattan everything close!!,private room
14726699,49.0,Queens, Jamaica,Shanie,2019-07-01,Private Ground Floor Studio Apartment Near JFK/LGA,entire home/apt
14733932,50.0,Brooklyn, Bedford-Stuyvesant,Alan,2019-05-04,20-25 minutes to downtown NYC/30-40 to midtown,private room
14737992,41.0,Manhattan, Harlem,Laura,2019-06-05,Large bedroom in Luxury bldg West Harlem,private room
14741623,48.0,Brooklyn, Bedford-Stuyvesant,Sarah,2019-06-22,Cozy Private Bedroom and Bathroom in Brooklyn,private room
14745847,150.0,Manhattan, Midtown,Roberto,2019-06-22,Beautifu large studio in the heart  of Manhattan,entire home/apt
14749932,78.0,Brooklyn, Williamsburg,Valentina,2019-06-23,PRIME WILLIAMSBURG ROOM. ONE STOP FROM MANHATTAN,private room
14756913,120.0,Brooklyn, Bedford-Stuyvesant,Valentina,2019-06-22,Beautiful loft apt. on quiet Bed-Stuy block,entire home/apt
14759851,100.0,Manhattan, Hell's Kitchen,Lin,2019-05-16,Cozy room in convenient Midtown West location,private room
14760211,200.0,Manhattan, Upper East Side,Corporate Housing,2019-04-30,"Madison Ave Palace  - Washer Dryer, Outdoor Deck",entire home/apt
14760402,249.0,Queens, Sunnyside,Jared,2019-05-26,2br Apartment w/ Balcony & Free Airport Pickup!,entire home/apt
14761949,80.0,Manhattan, Harlem,Christina,2019-06-27,Upper Westside  Room w/ Private Bath & View,private room
14763255,50.0,Brooklyn, Bedford-Stuyvesant,Angelo,2019-06-29,Private Large Studio-size Room,private room
14769619,33.0,Brooklyn, East New York,Silvia,2019-06-16,Cozy minimalist room close to train (1),private room
14769785,100.0,Brooklyn, Crown Heights,Shirley,2019-01-01,Pr1vate Room(Queensizebed)$100,private room
14772701,89.0,Brooklyn, Williamsburg,Krzysztof,2019-05-31,2A Lovely one bedroom apartment in Williamsburg,entire home/apt
14774206,97.0,Manhattan, Upper West Side,Max,2019-07-06,South-By-Southwest Room,private room
14777684,66.0,Queens, Jamaica,Deborah,2019-07-04,Immaculate Private Apt Under $10 Uber to JFK*,entire home/apt
14779359,199.0,Manhattan, Harlem,Roy & Rita,2019-07-07,"3 BD,2 BTH, Doorman,15 mins to Midtown",entire home/apt
14779590,52.0,Brooklyn, Williamsburg,Ari,2019-06-25,Quiet room with loft bed,private room
14781268,70.0,Brooklyn, Bushwick,Daniel,2019-03-22,Huge Sunny Private Bedroom in heart of Brooklyn,private room
14783267,170.0,Brooklyn, Park Slope,Talia,2019-06-09,Lovely & bright apartment in center of Park Slope,entire home/apt
14783847,200.0,Manhattan, Midtown,Cranston,2019-07-01,Midtown East Pied-?�-Terre,entire home/apt
14784557,200.0,Manhattan, Hell's Kitchen,Jerald,2019-07-03,Beautiful Designer 1 bedroom Apt Midtown Manhattan,entire home/apt
14784793,160.0,Brooklyn, Flatbush,Tiffany,2019-04-22,Ditmas Park Beautiful Spacious Apartment,entire home/apt
14787179,100.0,Brooklyn, Williamsburg,Barbara,2019-07-03,Large private bedroom&bath 2 min. away from subway,private room
14787776,120.0,Brooklyn, Williamsburg,Nicolette,2019-05-12,1 Beautiful Private Bedroom In Prime Williamsburg,private room
14788009,95.0,Queens, Ditmars Steinway,Chris,2019-06-18,Chris' Cozy Cave!,entire home/apt
14790550,150.0,Brooklyn, Gravesend,Allen,2019-07-01,Large and inviting 3BR apartment,entire home/apt
14795784,95.0,Brooklyn, Crown Heights,Tanya,2019-05-19,Studio Apartment Prospect Heights,entire home/apt
14800184,67.0,Brooklyn, Bedford-Stuyvesant,Carlos,2019-06-30,Spacious Bedroom in Gorgeous Renovated Apartment,private room
14802377,59.0,Brooklyn, Crown Heights,Kat,2019-06-21,Beautiful Home Away From Home,private room
14804661,125.0,Staten Island, West Brighton,Eddie & Lois,2019-07-01,"Cozy 4 beds, Free Ferry to Manhattan.",entire home/apt
14807279,225.0,Brooklyn, Bedford-Stuyvesant,Eric,2019-06-30,Renovated brownstone apt w/ private outdoor patio,entire home/apt
14807332,180.0,Manhattan, Hell's Kitchen,Michael,2019-07-01,Duplex with Private Bathroom by Times Square,private room
14807890,100.0,Manhattan, Upper West Side,Maurice,2019-07-05,Sunny Bloomingdale,private room
14808499,79.0,Brooklyn, Williamsburg,Krzysztof,2019-05-31,"Large studio in Williamsburg, 3B",entire home/apt
14808832,125.0,Manhattan, Upper East Side,Daniel,2019-06-15,"Bedroom & living area Upper East Side, 86th Subway",entire home/apt
14808890,47.0,Queens, Richmond Hill,Zhur,2019-06-10,Comfortable Twin Size Bed Near Airport,private room
14815997,195.0,Manhattan, Upper East Side,Mj,2019-06-26,"Bright, quiet, super comfy chic in Upper East Side",entire home/apt
14817571,60.0,Queens, Astoria,Yudum,2019-06-10,Private room in astoria for a month!,private room
14818234,300.0,Manhattan, Gramercy,Justin,2019-05-27,Spacious 3BR Duplex Apt + Loft in Gramercy NYC,entire home/apt
14819796,250.0,Brooklyn, Carroll Gardens,Sol,2019-06-28,"Charming 2BR  Prime Carroll Gardens/ F,G Train",entire home/apt
14821756,27.0,Queens, Corona,Luffy,2019-06-07,"LowerLevel House NYC,Traveler ShortStay BedRoom",shared room
14822309,65.0,Manhattan, Harlem,Chip,2019-04-30,"Relaxing, spacious, private room Riverside Drive",private room
14823020,42.0,Queens, Ridgewood,Leslie,2019-06-13,peaceful tree view room in sweet neighborhood,private room
14824160,199.0,Manhattan, Chinatown,Zi Ying,2019-06-22,NYC Photographers Loft,entire home/apt
14824230,85.0,Manhattan, Morningside Heights,Ruth,2019-06-14,Cozy quiet room in Morningside brownstone,private room
14824875,135.0,Brooklyn, East New York,Sunshine,2019-06-20,Beautiful two bedroom apartment with backyard,entire home/apt
14826817,120.0,Brooklyn, Flatbush,Sidney,2019-06-12,Sid's Victorian Oasis,private room
14827265,120.0,Manhattan, SoHo,Amy,2019-07-01,private room in SOHO,private room
14827418,120.0,Manhattan, SoHo,Amy,2019-05-19,private room in central SOHO,private room
14827512,100.0,Manhattan, SoHo,Amy,2019-07-01,comfy bed in SOHO,shared room
14834733,72.0,Brooklyn, Bushwick,Dee,2019-06-23,"Stoner Abode in Bushwick
ADULTS ONLY!",private room
14838160,65.0,Brooklyn, Fort Greene,Mallary,2019-05-22,Bedroom in Beautiful Fort Greene Home,private room
14838808,129.0,Manhattan, SoHo,Scott,2019-05-22,Private Bed/Bath in SOHO Townhouse +Office/Deck!!!,private room
14839106,113.0,Brooklyn, Williamsburg,Kaitlyn,2019-06-19,Modern Private Room-L Train in front of building!,private room
14839830,100.0,Queens, Flushing,Harvey,2019-06-24,Modern Spacious Private One bedroom Free Parking.,entire home/apt
14839995,175.0,Brooklyn, Park Slope,Michael,2019-05-06,3 BR & Bath Sunny Quiet Entire Floor Brown,entire home/apt
14840822,200.0,Manhattan, Midtown,Leah,2019-07-01,"East midtown, Steps from the UN +GC",private room
14841128,152.0,Brooklyn, Bedford-Stuyvesant,Valerie,2019-06-24,"Cozy Quiet/NYC, Brooklyn apt next to subway!!",entire home/apt
14841838,140.0,Queens, Jackson Heights,Nicholas,2019-06-24,Jackson Heights 2 bedrooms housing,entire home/apt
14842991,95.0,Manhattan, Upper East Side,Caroline,2019-06-26,Sunny Upper East Side Escape,private room
14843464,80.0,Brooklyn, Greenpoint,Krzysztof,2019-06-08,"Large studio in Williamsburg, 4B",entire home/apt
14843553,215.0,Manhattan, Chelsea,Eyal,2019-07-01,Beautiful Alcove Studio in West Midtown,entire home/apt
14850904,140.0,Brooklyn, Sunset Park,Remy,2019-06-30,"Sunny, Beautiful 2BR in Park Slope South",entire home/apt
14854002,76.0,Queens, Sunnyside,Vicky,2019-06-16,Master bedroom with king size bed and private bath,private room
14854013,150.0,Queens, Sunnyside,Eliana,2019-06-09,"1 Bedroom apartment in Woodside, NY",entire home/apt
14854430,195.0,Manhattan, East Village,Jackie,2019-06-05,Apartment in Center of East Village,entire home/apt
14854453,49.0,Manhattan, Upper East Side,David,2019-06-01,Small room in great neighborhood,private room
14856799,50.0,Queens, Flushing,Amy,2019-04-15,�??�?��?���?(SunnyHome3),private room
14858544,90.0,Manhattan, Chelsea,Gina,2019-06-22,BEST AREA IN CHELSEA. MODERN. COMPACT. HIGH LINE!!,entire home/apt
14864014,155.0,Brooklyn, Crown Heights,Alex,2019-06-18,"Ultramodern Luxury 1 BR w/ Terrace, Crown Heights",entire home/apt
14868631,136.0,Brooklyn, Bedford-Stuyvesant,Stephanie,2019-06-26,Cozy Bed Stuy Getaway,entire home/apt
14868857,80.0,Brooklyn, Williamsburg,Krzysztof,2019-04-21,Entire studio in Williamsburg,entire home/apt
14871736,239.0,Brooklyn, Boerum Hill,Alicia,2019-04-28,An Urban Oasis in the Heart of Downtown Brooklyn,entire home/apt
14878046,150.0,Manhattan, Chinatown,Erin,2019-07-01,Light Filled Chinatown Apartment,entire home/apt
14880613,300.0,Manhattan, East Village,Tamar,2019-05-26,"Cute, central East Village apt",entire home/apt
14881637,125.0,Manhattan, Midtown,Mor,2019-05-04,Lovely 1 BR in Prime Location on E 26 & 3 - NYC,entire home/apt
14882046,200.0,Manhattan, Harlem,Heidi,2019-06-21,Harlem Comfort and Style,entire home/apt
14882309,100.0,Brooklyn, Flatbush,Sidney,2019-06-19,Sid's Victorian Peaceful Haven,private room
14883818,50.0,Queens, Ridgewood,Vytaute,2019-06-26,Cozy and close to Manhattan,entire home/apt
14885186,50.0,Brooklyn, Bedford-Stuyvesant,Josh,2019-06-26,Huge Brownstone! Private Room! Clean! City in 15!,private room
14886600,198.0,Manhattan, Midtown,Meg,2019-06-30,"Midtown East Studio Apt ~ Private, Cozy & Bright",entire home/apt
14887088,200.0,Queens, Rockaway Beach,Nancy,2019-06-08,"BEACH BLOCK IN ��� OF ROCKAWAY, NYC",entire home/apt
14888012,55.0,Brooklyn, East New York,Kathleen,2019-06-08,Brooklyn Vibe,private room
14892623,80.0,Staten Island, South Beach,Tanya,2019-05-05,Cozy Space w/ Separate Entrance,private room
14899111,415.0,Manhattan, West Village,Barbara,2019-07-01,2 bed/2 bath floor - unique West Village townhouse,entire home/apt
14909867,99.0,Queens, Forest Hills,Julia,2019-06-10,"Beautiful basement apt in Forest Hills, Queens",private room
14911628,180.0,Manhattan, Hell's Kitchen,Val,2019-06-30,Modern 1BR Apt in the Heart Of NYC,entire home/apt
14911767,180.0,Brooklyn, Park Slope,Stephen,2019-03-04,Beautiful Park Slope apartment in great location!,entire home/apt
14912574,100.0,Brooklyn, Flatbush,Lio & Kim And Yotam,2019-03-22,Spacious Living in Ditmas Park,entire home/apt
14913197,56.0,Brooklyn, Greenpoint,Manny & Gemma,2019-06-15,Serene & Clean Cuartito with Garden View,private room
14913358,98.0,Brooklyn, Bedford-Stuyvesant,Evan,2019-06-30,Brooklyn Gem: Stylish & Family Friendly,entire home/apt
14913941,93.0,Brooklyn, Crown Heights,Loretta,2019-05-25,Crown Heights and Cozy Self-Catering,entire home/apt
14914048,60.0,Manhattan, Washington Heights,Rachel,2019-06-18,"Spacious Private Bedroom, 10 min to Central Park",private room
14914739,250.0,Brooklyn, Bedford-Stuyvesant,Andres&Ine,2019-06-29,Duplex apartment in the heart of Brooklyn,entire home/apt
14915099,225.0,Brooklyn, Williamsburg,Jason,2019-04-21,Studio In Williamsburg w/ Amazing View Waterfront,entire home/apt
14916806,249.0,Brooklyn, Williamsburg,Logan,2019-06-23,Voted ���Best of Williamsburg��� / 1000 sqft Loft,entire home/apt
14917475,85.0,Brooklyn, Bushwick,Caroline,2019-02-28,"RENOVATED 2-Bedroom, Near subway, comfy & cosy!",entire home/apt
14917765,30.0,Bronx, Kingsbridge,Eduardo,2019-06-12,"Kingsbridge Heights, The Bronx, NY.",private room
14918238,60.0,Brooklyn, Bedford-Stuyvesant,Sharon,2019-07-04,Beautiful Sunny Small Room,private room
14918404,80.0,Brooklyn, Flatbush,Sidney,2019-06-17,Sid's Victorian Quiet Hideaway,private room
14926631,129.0,Manhattan, Hell's Kitchen,Lisa,2019-07-05,Cozy Room Right Next to Central Park,private room
14926698,250.0,Brooklyn, Vinegar Hill,Phillip,2019-06-06,DUMBO couch with A/C near the Brooklyn Bridge,shared room
14932887,199.0,Manhattan, Hell's Kitchen,Kara,2019-05-10,Luxury Studio Apt Overlooking the Hudson River,entire home/apt
14933521,129.0,Manhattan, Harlem,Esi,2019-07-01,Sunny 1 Bedroom in Harlem,entire home/apt
14935001,105.0,Queens, Sunnyside,Odi,2019-06-16,Quaint Studio. 20 mins to City,entire home/apt
14945219,102.0,Brooklyn, Bushwick,Julia,2019-06-26,"Sunny Art Loft in Bushwick, Brooklyn + 1 Cute Cat",entire home/apt
14949281,40.0,Manhattan, Theater District,Adam,2019-06-19,"The best deal, really close to Times Square",private room
14949923,120.0,Manhattan, Upper West Side,Aimee,2019-06-24,Luxury Apartment one block from Central Park,private room
14952053,70.0,Brooklyn, Cypress Hills,Ann,2019-06-30,Private natural light oasis with Super Host!!,private room
14959206,145.0,Brooklyn, Williamsburg,Dennis,2019-06-26,Cozy Modern Townhouse Studio Williamsburg BK,entire home/apt
14961122,86.0,Brooklyn, Bedford-Stuyvesant,Giorgia,2019-05-31,Spacious studio with private garden in Brooklyn,entire home/apt
14963583,70.0,Manhattan, Harlem,Gilles,2019-01-01,Room in South Harlem near Central Park,private room
14966184,85.0,Manhattan, East Harlem,Jack,2019-06-28,Stay in a beautiful apartment&experience Harlem!,private room
14967881,225.0,Manhattan, Upper East Side,David,2019-06-07,Luxurious Studio by Central Park - Newly Renovated,entire home/apt
14967994,100.0,Brooklyn, Canarsie,Natasha,2019-06-26,Seaview Studio in  Brooklyn New york.,entire home/apt
14968000,218.0,Brooklyn, Park Slope,Saif,2019-07-08,Spacious Comtemporary 3BR Apartment,entire home/apt
14968436,55.0,Manhattan, Harlem,Ricardo,2019-05-27,Gorgeous room in Historic Harlem street,private room
14968939,90.0,Brooklyn, Williamsburg,Daniela,2019-06-16,Peaceful cove in Williamsburg!,private room
14969217,105.0,Brooklyn, Bushwick,Lidia,2019-05-20,Gorgeous brand new apartment in Bushwick,entire home/apt
14972714,195.0,Manhattan, Harlem,George,2019-06-23,Charming Harlem Townhouse Minutes from Midtown,entire home/apt
14976368,150.0,Brooklyn, Williamsburg,Dana,2019-06-15,Cozy apt. Heart of Williamsburg NYC,entire home/apt
14981124,50.0,Brooklyn, Bedford-Stuyvesant,Josh,2019-06-07,Nice Private room in quiet 2 level Brownstone!,private room
14981522,70.0,Brooklyn, Greenpoint,Jonathan,2019-07-05,Peaceful room in Artsy W'burg 3br,private room
14982260,180.0,Queens, Astoria,Adrian,2019-06-30,Newly renovated 1-bm apt with a wooden deck.,entire home/apt
14982907,65.0,Queens, St. Albans,Nickesha,2019-05-11,Comfy Private Bedroom-JFK (8 mins),private room
14983453,69.0,Manhattan, Harlem,Eliahu,2019-07-02,127 St & Convent Av NYC ABCD RM 3,private room
14987023,40.0,Brooklyn, Prospect Heights,Brooklyn&   Breakfast    -Len-,2019-07-06,Cozy 3rd floor room at Brooklyn&Breakfast,private room
14987516,85.0,Queens, Rosedale,Clif,2019-01-07,Musa Property,entire home/apt
14988596,69.0,Manhattan, Upper East Side,Michelle,2019-07-03,Convenient Modern 1 Bedroom Apt. Upper East Side,entire home/apt
14989532,270.0,Manhattan, East Harlem,Iryna,2019-06-16,East Harlem: Spacious 3BR,entire home/apt
14989615,53.0,Queens, Elmhurst,Jazzy,2019-07-07,Cheap $45/night@15 minuets to Mahattaton,private room
14991887,100.0,Brooklyn, Bedford-Stuyvesant,Peter & Nora,2019-06-23,Brownstone Apartment on Tree Lined Street,entire home/apt
14994076,299.0,Bronx, Eastchester,Vie,2019-05-21,Dominiques NYC 4Bedrm crashpad**Stay here**metro,entire home/apt
14995382,50.0,Brooklyn, East Flatbush,Beryl,2019-06-16,Large Victorian in Brooklyn - Downstairs 2 Beds,private room
15001872,70.0,Brooklyn, Bushwick,Donna,2019-06-30,Cozy Convenience in Bushwick,private room
15003711,78.0,Brooklyn, South Slope,Jaye (And Spike),2019-06-26,@BrooklynWhisky's: Birdsnest-Guest Room,private room
15003721,50.0,Brooklyn, East Flatbush,Beryl,2019-06-20,Large Victorian in Brooklyn - Downstairs 1 Bed,private room
15003930,200.0,Manhattan, Upper East Side,Mor,2019-02-02,Best Upper East Side Studio,entire home/apt
15004091,60.0,Brooklyn, Williamsburg,S.A.,2019-06-21,Cozy convenient Williamsburg bedrm!,private room
15008979,75.0,Queens, Ozone Park,Elvin,2019-06-30,Cozy Room near Casino and Metro,private room
15009556,150.0,Brooklyn, Sunset Park,Roselle,2019-06-22,Modern & sunny 2BR Apt - 25 min to Manhattan,entire home/apt
15009618,129.0,Manhattan, Hell's Kitchen,Bianca,2019-05-12,Huge private bedroom in the heart of Times Square,private room
15009751,220.0,Manhattan, Upper West Side,Lisa,2019-06-10,1 Bedroom 1 Bathroom with Ralph Lauren City Vibe,entire home/apt
15016999,105.0,Brooklyn, Crown Heights,Joe,2019-06-19,Crown Heights 1-Bedroom Near Parks and Museum,entire home/apt
15018397,125.0,Brooklyn, DUMBO,Anna,2019-06-29,Peaceful Room in Dumbo Art Loft Too,private room
15024645,259.0,Brooklyn, Williamsburg,Jody,2019-06-23,Huge Historic Brooklyn Loft Minutes From Manhattan,entire home/apt
15024889,70.0,Queens, Ozone Park,Lucy,2019-06-29,WARM AND CHARMING 2 BED APARTMENT,entire home/apt
15026994,65.0,Queens, Long Island City,Anu-Raga,2019-05-11,A large private room with indoor garden,private room
15028194,180.0,Brooklyn, Crown Heights,Zachary,2019-06-14,"Stylish, Comfortable, and Affordable in Brooklyn",entire home/apt
15033685,168.0,Manhattan, Upper West Side,Shelley,2019-06-22,Authentic Living in Manhattan,entire home/apt
15035050,142.0,Manhattan, Nolita,Corporate Housing,2019-03-26,HEART OF SOHO UPDATED 1 BR,entire home/apt
15037251,99.0,Manhattan, Upper West Side,Desi,2019-07-01,PRIVATE ENTIRE FLOOR -NEXT TO Central PARK  !,private room
15038469,45.0,Brooklyn, Gowanus,Andrew,2019-06-21,Prime Park Slope Room (10 min. train to Lower NYC),private room
15039238,77.0,Manhattan, Harlem,Arthur,2019-01-01,Comfortable 1 and 1/2 Bedroom With Private Patio,entire home/apt
15040421,55.0,Manhattan, East Harlem,Vivian,2019-05-15,"Private Cozy, Comfy & Bright Room!",private room
15041647,60.0,Queens, Corona,Nixie & Hai,2019-07-03,Private Bedroom in NYC w/ SUPERHOST.,private room
15042314,40.0,Brooklyn, Bedford-Stuyvesant,Ryan,2019-07-06,"Huge, Sunny Apartment on Bushwick/Bed Stuy Border!",entire home/apt
15042361,68.0,Queens, Jamaica,Karlene,2019-01-03,Airports Sleep Inn,private room
15043534,55.0,Queens, Sunnyside,Nurcan,2019-07-01,Private room in Sunnyside 2 46th St,private room
15043788,45.0,Queens, Sunnyside,Nurcan,2019-07-01,Private Room in Sunnyside 3,private room
15043817,50.0,Queens, Sunnyside,Nurcan,2019-05-29,Private room in Sunnyside 1,private room
15048516,54.0,Queens, Sunnyside,Oliver,2019-06-15,Full 1-bedroom near subway into midtown Manhattan,entire home/apt
15049253,70.0,Queens, St. Albans,Nickesha,2019-05-21,Queens Comfy Private Room (JFK-8mins) with porch,private room
15052112,584.0,Manhattan, Midtown,Emanuel,2019-04-12,"FLATIRON""""GRAND PANORAMA""""LUXURY~3 BR W/Roof Deck",entire home/apt
15052455,55.0,Brooklyn, Bedford-Stuyvesant,Kimberly,2019-05-28,"XL Sunny, NYC Flat Close to Train, Cafes & Shops",private room
15053143,350.0,Manhattan, East Harlem,Adam,2019-07-01,Gigantic 2-Story Skylight Loft���2 Blocks To Subway,entire home/apt
15054617,43.0,Queens, Edgemere,Stat,2019-02-09,"Home 4 Medical Professionals - The ""Syncope""",private room
15054630,45.0,Brooklyn, East New York,Carla,2019-02-11,"Clean, large, private R room with queen sized bed",private room
15058410,65.0,Queens, Ozone Park,David,2019-06-03,Spacious 1BD Luxurious room in Queens NYC,private room
15059292,110.0,Manhattan, Midtown,Anush,2019-06-17,HUGE ROOM IN CENTER CITY! AMAZING LOCATION!,private room
15062944,47.0,Manhattan, Upper West Side,David,2019-05-28,"Private full bed, prime location",private room
15064512,150.0,Manhattan, Greenwich Village,Todd,2019-06-09,The Center of NYC,private room
15066701,195.0,Brooklyn, Bedford-Stuyvesant,Chris,2019-06-25,"Huge, modern 3-bed 2-bath, 20mins from Manhattan",entire home/apt
15067291,64.0,Manhattan, Harlem,Grisula,2019-07-05,Manhattan Private Room with a Garden view (Room 2),private room
15068067,750.0,Manhattan, Chelsea,Alex,2019-01-04,Historic Serene Chelsea Brownstone 2.5 Bed,entire home/apt
15079046,79.0,Manhattan, Inwood,Jeanie,2019-05-24,Quiet Clean and Charming! Entire Apt Fri-Sun!,private room
15079215,155.0,Queens, Long Island City,Tamara,2019-06-19,Stay in Solar Powered Apartment in NYC!!!,entire home/apt
15080267,99.0,Brooklyn, Bedford-Stuyvesant,Kimberly,2019-02-12,"Huge Brownstone,Private Garden- Pet chicks & eggs.",private room
15081440,69.0,Staten Island, West Brighton,Eddie & Lois,2019-01-04,Eco  private room for 4 best location to Mahanttan,private room
15082723,95.0,Brooklyn, Williamsburg,Joseph,2019-07-08,"Williamsburg Private Room, Outdoor Space w/grill",private room
15083267,110.0,Manhattan, Chelsea,Greg,2019-06-19,Bedroom in the heart of NYC,private room
15083823,85.0,Brooklyn, Red Hook,Risha,2019-07-03,Artists rustic 2 Room studio  in Red Hook,entire home/apt
15087746,120.0,Brooklyn, Crown Heights,Andre,2019-01-01,Big Suite in Crown Heights,private room
15087800,65.0,Queens, St. Albans,Nickesha,2019-06-23,Private Bedroom in Queen -JFK 8mins,private room
15088024,54.0,Brooklyn, Prospect-Lefferts Gardens,Russell,2019-07-02,Cozy Private Room for Eager Travelers! :D,private room
15095589,60.0,Brooklyn, Sunset Park,Karen,2019-06-13,"Comfortable Room in Lovely Home, quick ride to NYC",private room
15095808,239.0,Queens, Holliswood,Lourdes,2019-06-30,Cozy Getaway Rental Home,private room
15098786,200.0,Manhattan, SoHo,Sarah,2019-06-23,Cozy One Small Bedroom Soho House,entire home/apt
15099149,75.0,Brooklyn, Sunset Park,Theresa,2019-06-23,Brooklyn Space with Balcony!,private room
15100256,110.0,Manhattan, Upper West Side,Shane,2019-05-20,Central Park Vacation,private room
15100760,75.0,Queens, Arverne,Glenn,2019-05-18,Rockaway Beach House,private room
15107952,165.0,Manhattan, Midtown,Karen,2019-04-28,"Cute, Sun filled Sudio Apartment in Manhattan",entire home/apt
15110120,188.0,Brooklyn, Brooklyn Heights,Philippe,2019-06-27,Great Location! Brooklyn Heights One Bedroom,entire home/apt
15111011,140.0,Brooklyn, Bedford-Stuyvesant,Elaine,2019-06-26,"Bright, Modern, Clean, Spacious, Brooklyn Home",entire home/apt
15113479,300.0,Manhattan, Harlem,Migdalia,2019-06-16,3BR/2 bath/Duplex+YARD/Near Columbia/City College,entire home/apt
15114181,132.0,Manhattan, Murray Hill,Maya,2019-07-05,Spacious Room In Luxury NYC Apartment,private room
15114265,95.0,Manhattan, East Harlem,Eric,2019-07-02,"��� UES | Cozy bedroom near LGA, free coffee & tea!",private room
15114433,85.0,Manhattan, Murray Hill,Maya,2019-01-14,Room In Gorgeous Gut Renovated NY Apartment,private room
15114550,150.0,Brooklyn, Bedford-Stuyvesant,Alex,2019-06-30,"Spacious, Clean and Comfy 2 Bedroom",entire home/apt
15115143,200.0,Manhattan, Hell's Kitchen,Clark,2019-07-02,46st Cozy Flat Midtown/Tms Squr/Javits Ctr/Pier 97,entire home/apt
15115382,90.0,Brooklyn, Crown Heights,Mark Winston,2019-06-25,Private Guestroom in Landmark Bklyn Brownstone,entire home/apt
15115532,163.0,Manhattan, Kips Bay,Dalibel,2019-01-01,Cozy Duplex Studio in Manhattan,entire home/apt
15116599,68.0,Brooklyn, Bedford-Stuyvesant,Carol,2019-07-02,Greyhound Manor - 2 fullbd beds and private bathrm,private room
15122925,100.0,Brooklyn, Bensonhurst,Steven,2019-06-13,Sweet 2 Bedroom In South BK,entire home/apt
15126483,70.0,Queens, Ditmars Steinway,Bridget,2019-05-27,Kitschy Corner Bedroom on a Friendly Astoria Block,private room
15126686,90.0,Queens, Astoria,Melissa,2019-05-26,Guest bedroom off of 30th ave,private room
15126948,100.0,Manhattan, East Village,Caitlin,2019-06-24,"Large & Nice, Bright 1 Bdrm in East Village, NYC",private room
15128456,65.0,Brooklyn, Bushwick,Leticia,2019-06-21,Clean room with private bathroom in Bushwick!,private room
15131279,40.0,Brooklyn, Flatbush,Amaru,2019-06-15,Gorgeous Bedroom in Brooklyn,private room
15131952,80.0,Brooklyn, Bushwick,Maria,2019-06-30,1 Bedroom in a shared space with  AC & garden.,private room
15133055,48.0,Queens, Ridgewood,Nathaniel,2019-05-31,Sunny Bushwick room & bed with exposed brick wall,private room
15133087,50.0,Brooklyn, Crown Heights,Jazzy,2019-06-23,Bright room in Brooklyn historic district,private room
15133612,135.0,Brooklyn, East New York,Sunshine,2019-05-14,"Beautiful 2BR Apt, 1 Min Walk to Major Subway!",entire home/apt
15133972,35.0,Brooklyn, Brighton Beach,Maryna,2019-06-01,Friendly and kind!Clean and safe!Best hostel ever!,shared room
15134876,85.0,Brooklyn, East New York,Silvia,2019-04-14,Lovely studio 2 min walk to train/ subway C),entire home/apt
15140447,120.0,Manhattan, Washington Heights,Erica,2019-04-21,NYC 1 bed - Uptown - Steps away from train,entire home/apt
15141938,180.0,Manhattan, Chelsea,Yochi,2019-07-05,In a Chelsea loft:  A PERFECT private room & bath,private room
15142409,299.0,Manhattan, Gramercy,Julie,2019-06-30,Union Square - Interior designer - Private 1 bdr,entire home/apt
15144127,50.0,Brooklyn, Sunset Park,Jesse,2019-06-30,Sunny and Spacious Room in Sunset Park Apartment,private room
15149137,160.0,Manhattan, Harlem,Ephraim,2019-07-03,Private Blu Penthouse Brownstone 1 BR Harlem NYC,entire home/apt
15149560,120.0,Manhattan, SoHo,Nuan,2019-06-15,"Private, cozy room in the Center of Manhattan",private room
15150240,65.0,Brooklyn, Prospect-Lefferts Gardens,Nichole,2019-05-31,Lovely Apartment Near Prospect Park,private room
15154905,130.0,Brooklyn, Greenpoint,Arin,2019-06-21,"Huge bedroom suite in Greenpoint, Brooklyn",private room
15158194,67.0,Manhattan, Washington Heights,Michael,2019-05-31,Sunny Manhattan 1 bedroom  in Landmark Brownstone,entire home/apt
15158791,130.0,Brooklyn, Manhattan Beach,Mitch,2019-06-30,"SPECIAL: Luxury Apt, Close to Transp, Beach & Food",entire home/apt
15160791,75.0,Brooklyn, Williamsburg,Masahiro,2019-06-22,Private Room Williamsburg 3 Blocks from L Bedford,private room
15164526,60.0,Brooklyn, Sunset Park,Norma-Ester-,2019-06-07,2MinToTrainsNiceRMaimonidesLutheranIndustryCity,private room
15165888,40.0,Manhattan, Harlem,Jonathan,2019-06-08,The Brass Shack,private room
15166520,60.0,Brooklyn, Sunset Park,Norma-Ester-,2019-05-31,2MinTrainLovelyRMaimonidesLutheranIndustryCity,private room
15177635,70.0,Brooklyn, Sunset Park,Norma-Ester-,2019-05-31,2MinTrainBigBeautyRMaimoLutherandIndustryCitty,private room
15178725,150.0,Staten Island, St. George,Tony & Grace,2019-06-18,2 BR Tropical Getaway near Ferry,entire home/apt
15178929,93.0,Manhattan, East Harlem,Madison,2019-06-23,Cozy NYC Studio (in Upper Manhattan / East Harlem),entire home/apt
